Date,Open,High,Low,Close,Volume,MA,EMA,AROONDOWN,AROONUP,MFI,MOM,T10YIE,SP500,SOFR180DAYAVG,IHLIDXUS,OBMMIC15YF
2020-02-03,44.91266632080078,52.409332275390625,44.90133285522461,52.0,705975000,33.84508883158366,34.975557264338036,0.0,100.0,73.5996677681777,17.96666717529297,1.63,3248.92,1.80147,99.97,3.102
2020-02-04,58.86399841308594,64.59933471679688,55.59199905395508,59.137332916259766,914082000,34.918466567993164,36.53438149994589,14.285714285714286,100.0,78.35485540479857,22.657333374023438,1.64,3297.59,1.79861,100.03,3.126
2020-02-05,54.88399887084961,56.39866638183594,46.94066619873047,48.97999954223633,726357000,35.64982210795085,37.33732459944849,7.142857142857143,92.85714285714286,69.46298344042906,11.009330749511719,1.66,3334.69,1.79587,100.12,3.099
2020-02-06,46.66133117675781,53.05533218383789,45.79999923706055,49.930667877197266,598212000,36.3825777053833,38.149798359303254,0.0,85.71428571428572,64.54307539860015,11.784000396728516,1.67,3345.78,1.79295,100.24,3.118
2020-02-07,48.70333480834961,51.31666564941406,48.66666793823242,49.871334075927734,255952500,37.099955495198564,38.90602647005322,0.0,78.57142857142857,65.3118952608075,12.216667175292969,1.66,3327.71,1.79004,100.2,3.091
2020-02-10,53.33333206176758,54.66600036621094,50.15999984741211,51.41866683959961,370338000,37.85626659393311,39.71329359066912,0.0,71.42857142857143,66.51214775260837,14.217334747314453,1.66,3352.09,1.78079,100.26,3.09
2020-02-11,51.25266647338867,52.23400115966797,50.53333282470703,51.62533187866211,175462500,38.62071100870768,40.48181218989447,21.42857142857143,64.28571428571429,62.05086878413735,13.832000732421875,1.65,3357.75,1.77771,100.23,3.115
2020-02-12,51.858001708984375,52.650001525878906,50.891334533691406,51.15266799926758,180337500,39.40424435933431,41.170254500176604,14.285714285714286,57.142857142857146,65.96110945892312,12.420001983642578,1.66,3379.45,1.77435,100.19,3.118
2020-02-13,49.45600128173828,54.53333282470703,49.0,53.599998474121094,394339500,40.261288770039876,41.972173466237535,7.142857142857143,50.0,70.3718447923873,10.879329681396484,1.67,3373.94,1.77121,100.12,3.112
2020-02-14,52.4813346862793,54.198001861572266,52.366668701171875,53.33533477783203,235405500,41.08299992879232,42.70528064763073,0.0,42.85714285714286,73.53145155077787,9.964000701904297,1.66,3380.16,1.76807,100.09,3.111
2020-02-18,56.106666564941406,57.33333206176758,55.490665435791016,57.22666549682617,245725500,42.00608876546224,43.6421441862885,0.0,35.714285714285715,74.18610528248823,5.226665496826172,1.65,3370.29,1.75602,99.21,3.107
